cartodb_id,stadtbezir,name_stati,nr_statist,shape_len,shape_area,stand
23,5 Münster-West,Roxel,57,22888.3735287,19927071.2604,2016-01-05T00:00:00Z
33,6 Münster-Nord,Sprakel,68,26808.5012239,22417530.0165,2016-01-05T00:00:00Z
35,7 Münster-Ost,Gelmer-Dyckburg,76,29445.1711031,17730403.7277,2016-01-05T00:00:00Z
36,7 Münster-Ost,Handorf,77,39064.7506002,30696425.3441,2016-01-05T00:00:00Z
40,8 Münster-Südost,Wolbeck,87,27507.7532243,20706513.5183,2016-01-05T00:00:00Z
45,9 Münster-Hiltrup,Amelsbüren,98,36159.506301,43373088.9644,2016-01-05T00:00:00Z
3,2 Innenstadtring,Kreuz,27,3948.43381656,1014690.91644,2016-01-05T00:00:00Z
4,2 Innenstadtring,Neutor,28,3288.8087964,526258.268271,2016-01-05T00:00:00Z
18,4 Mitte-Nordost,Uppenberg,47,7892.25476512,3400216.41523,2016-01-05T00:00:00Z
1,2 Innenstadtring,Mauritz-West,25,3021.56119703,477736.791652,2016-01-05T00:00:00Z
8,3 Mitte-Süd,Schützenhof,33,4497.08603622,1006484.00079,2016-01-05T00:00:00Z
19,5 Münster-West,Gievenbeck,51,12527.3055494,9469027.05672,2016-01-05T00:00:00Z
38,8 Münster-Südost,Gremmendorf-Ost,82,8990.13099569,3994024.77973,2016-01-05T00:00:00Z
2,2 Innenstadtring,Schlachthof,26,3562.56139786,760916.355238,2016-01-05T00:00:00Z
16,4 Mitte-Nordost,Mauritz-Mitte,45,5497.30867611,1639550.05457,2016-01-05T00:00:00Z
5,2 Innenstadtring,Schloss,29,5217.61944465,1519222.08988,2016-01-05T00:00:00Z
14,4 Mitte-Nordost,Hafen,43,4959.34004054,1054341.95253,2016-01-05T00:00:00Z
7,3 Mitte-Süd,Geist,32,5137.99998357,1438409.60692,2016-01-05T00:00:00Z
17,4 Mitte-Nordost,Rumphorst,46,8462.95373463,3157262.05029,2016-01-05T00:00:00Z
31,2 Innenstadtring,Bahnhof,23,2999.91611068,363089.24996,2016-01-05T00:00:00Z
9,5 Münster-West,Nienberge,58,25372.7339203,27773023.6024,2016-01-05T00:00:00Z
10,6 Münster-Nord,Coerde,61,10376.5298579,5867566.48362,2016-01-05T00:00:00Z
11,6 Münster-Nord,Kinderhaus-Ost,62,7216.68675621,2622067.55638,2016-01-05T00:00:00Z
12,6 Münster-Nord,Kinderhaus-West,63,9562.66335078,5160561.03859,2016-01-05T00:00:00Z
13,3 Mitte-Süd,Düesberg,34,7521.50786204,2185161.94484,2016-01-05T00:00:00Z
15,4 Mitte-Nordost,Herz-Jesu,44,4369.93833958,1027692.60015,2016-01-05T00:00:00Z
25,1 Altstadt,Überwasser,12,2076.36383077,240300.242263,2016-01-05T00:00:00Z
20,5 Münster-West,Sentrup,52,12133.7173212,6627392.17673,2016-01-05T00:00:00Z
28,1 Altstadt,Martini,15,1884.75263767,166567.853315,2016-01-05T00:00:00Z
21,5 Münster-West,Mecklenbeck,54,11008.6662084,6244226.74734,2016-01-05T00:00:00Z
26,1 Altstadt,Dom,13,2995.32049398,434201.342512,2016-01-05T00:00:00Z
27,1 Altstadt,Buddenturm,14,2463.65453088,188438.515461,2016-01-05T00:00:00Z
32,2 Innenstadtring,Hansaplatz,24,2796.46041969,418503.348404,2016-01-05T00:00:00Z
22,5 Münster-West,Albachten,56,16442.0342056,12965147.6663,2016-01-05T00:00:00Z
29,2 Innenstadtring,Pluggendorf,21,3098.22301439,547591.418742,2016-01-05T00:00:00Z
30,2 Innenstadtring,Josef,22,4397.63473423,726331.571683,2016-01-05T00:00:00Z
41,9 Münster-Hiltrup,Berg Fidel,91,9292.75316954,4781065.80081,2016-01-05T00:00:00Z
42,9 Münster-Hiltrup,Hiltrup-Ost,95,17887.5225631,10996708.2689,2016-01-05T00:00:00Z
34,7 Münster-Ost,Mauritz-Ost,71,12909.9584934,5770133.78691,2016-01-05T00:00:00Z
37,8 Münster-Südost,Gremmendorf-West,81,12472.7035792,6399041.27775,2016-01-05T00:00:00Z
39,8 Münster-Südost,Angelmodde,86,12453.7075319,5016879.55025,2016-01-05T00:00:00Z
43,9 Münster-Hiltrup,Hiltrup-Mitte,96,13869.6524604,5985574.55797,2016-01-05T00:00:00Z
44,9 Münster-Hiltrup,Hiltrup-West,97,9789.51954551,4661595.32947,2016-01-05T00:00:00Z
6,3 Mitte-Süd,Aaseestadt,31,5363.08349416,1477567.36471,2016-01-05T00:00:00Z
24,1 Altstadt,Aegidii,11,1814.86369336,164740.387869,2016-07-25T00:00:00Z